Band,Genre,Album,Song
Foo Fighters,Rock,Wasting Light,Bridge Burning
Foo Fighters,Rock,Wasting Light,Rope
Foo Fighters,Rock,Wasting Light,Walk
Foo Fighters,Rock,Wasting Light,These Days
Foo Fighters,Rock,Wasting Light,Better Off
Foo Fighters,Rock,Wasting Light,Dear Rose Mary
Foo Fighters,Rock,"Echoes, Silence, Patience & Grace",Pretender
Foo Fighters,Rock,"Echoes, Silence, Patience & Grace",Let It Die
Foo Fighters,Rock,"Echoes, Silence, Patience & Grace",Home
Foo Fighters,Rock,"Echoes, Silence, Patience & Grace",Come Alive
Foo Fighters,Rock,There Is Nothing Left to Lose,Breakout
Foo Fighters,Rock,There Is Nothing Left to Lose,Learn To Fly
Foo Fighters,Rock,There Is Nothing Left to Lose,Generator
Arctic Monkeys,Indie Rock,AM,Do I Wanna Know?
Arctic Monkeys,Indie Rock,AM,R U Mine?
Arctic Monkeys,Indie Rock,AM,Arabella
Arctic Monkeys,Indie Rock,AM,Knee Socks
Arctic Monkeys,Indie Rock,Humbug,My Propeller
Arctic Monkeys,Indie Rock,Humbug,Secret Door
Arctic Monkeys,Indie Rock,Humbug,Cornerstone
Arctic Monkeys,Indie Rock,Humbug,Pretty Visitors
Dream Theater,Progressive Rock,A Dramatic Turn of Events,On the Back of The Angels
Dream Theater,Progressive Rock,A Dramatic Turn of Events,This is The Life
Dream Theater,Progressive Rock,A Dramatic Turn of Events,Outcry
Dream Theater,Progressive Rock,Black Clouds & Silver Linings,a Nightmare to remember
Dream Theater,Progressive Rock,Black Clouds & Silver Linings,The count of tuscany
Dream Theater,Progressive Rock,Black Clouds & Silver Linings,The Best of Times
Dream Theater,Progressive Rock,Black Clouds & Silver Linings,Wither
Dream Theater,Progressive Rock,Octavarium,Panic Attack
Dream Theater,Progressive Rock,Octavarium,Octavarium
Dream Theater,Progressive Rock,Octavarium,Never Enough
Dream Theater,Progressive Rock,Octavarium,I Walk Beside You